0.335420,0.200187
0.335721,0.200191
0.434873,0.201226
0.634680,0.203981
0.835006,0.207716
1.034841,0.211733
1.234842,0.216208
1.391449,0.219772
1.442035,0.220963
1.459127,0.221302
1.459460,0.221308
1.459767,0.221312
1.460016,0.221314
1.459947,0.221259
1.460014,0.221243
1.460173,0.221252
1.460402,0.221278
1.463931,0.221655
1.638402,0.244936
1.837378,0.270097
2.036118,0.293823
2.234735,0.316754
2.425656,0.338612
2.511902,0.348850
2.538703,0.352153
2.544188,0.352800
2.544372,0.352808
2.544542,0.352814
2.540856,0.352144
2.541429,0.352155
2.541571,0.352089
2.541010,0.351650
2.540568,0.351556
2.540346,0.351534
2.540314,0.351529
2.540315,0.351553
2.540357,0.351608
2.540415,0.351681
2.581364,0.411098
2.693564,0.576966
2.808268,0.741153
2.924103,0.904315
3.013334,1.033210
3.043606,1.077332
3.053828,1.091688
3.054111,1.091880
3.054080,1.091837
3.054041,1.091785
3.054002,1.091733
