3.422856,0.540824
3.415203,0.516785
3.430184,0.528348
3.441536,0.538564
3.446338,0.543448
3.446456,0.543589
3.446335,0.543435
3.446912,0.543985
3.447247,0.544312
3.444971,0.540452
3.444247,0.535530
3.443314,0.533307
3.442290,0.530647
3.441395,0.527113
3.440535,0.522989
3.439949,0.519248
3.443829,0.501592
3.448770,0.490762
3.446993,0.490015
3.445115,0.487882
3.445126,0.484718
3.445945,0.482701
3.447103,0.480456
3.460841,0.454987
3.460046,0.456601
3.459451,0.457548
3.460039,0.456824
3.460366,0.456501
3.460905,0.456256
3.461064,0.456250
3.461186,0.456157
3.460910,0.456142
3.460160,0.456211
3.459588,0.456241
3.459159,0.456247
3.459075,0.456249
3.458820,0.456248
3.389036,0.452898
3.200432,0.429337
3.001093,0.413771
2.800762,0.406612
2.600724,0.403996
2.400272,0.403378
2.200331,0.403630
1.999907,0.404108
1.799992,0.404451
1.599848,0.404369
1.399709,0.403968
1.200367,0.403102
1.068011,0.401362
1.022200,0.400838
1.008780,0.400679
1.008423,0.400676
1.008061,0.400674
1.007700,0.400672
1.007341,0.400670
